environment,tol_0.001,tol_0.0001,tol_1e-05
1,0.625,0.625,0.625
2,0.5,0.5,0.5
3,0.0,0.0,0.0
4,0.5,0.5,0.5
5,0.5,0.5,0.5
6,0.0,0.0,0.0
7,0.625,0.625,0.625
8,0.5,0.5,0.5
9,0.0,0.0,0.0
10,0.5,0.5,0.5
11,0.375,0.375,0.375
12,0.0,0.0,0.0
13,0.5,0.5,0.5
14,0.625,0.625,0.625
15,0.0,0.0,0.0
16,0.5,0.5,0.5
17,0.5,0.5,0.5
18,0.0,0.0,0.0
19,0.375,0.375,0.375
20,0.5,0.5,0.5
21,0.0,0.0,0.0
22,0.5,0.5,0.5
23,0.625,0.625,0.625
24,0.0,0.0,0.0
25,0.5,0.5,0.5
26,0.5,0.5,0.5
27,0.0,0.0,0.0
28,0.5,0.5,0.5
29,0.5,0.5,0.5
30,0.0,0.0,0.0
31,0.5,0.5,0.5
32,0.625,0.625,0.625
33,0.0,0.0,0.0
34,0.5,0.5,0.5
35,0.5,0.5,0.5
36,0.0,0.0,0.0
37,0.5,0.5,0.5
38,0.5,0.5,0.5
39,0.0,0.0,0.0
40,0.625,0.625,0.625
41,0.5,0.5,0.5
42,0.0,0.0,0.0
43,0.5,0.5,0.5
44,0.5,0.5,0.5
45,0.0,0.0,0.0
46,0.5,0.5,0.5
47,0.5,0.5,0.5
48,0.0,0.0,0.0
49,0.5,0.5,0.5
50,0.625,0.625,0.625
51,0.0,0.0,0.0
52,0.5,0.5,0.5
53,0.5,0.5,0.5
54,0.0,0.0,0.0
55,0.625,0.625,0.625
56,0.5,0.5,0.5
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.5,0.5,0.5
60,0.0,0.0,0.0
